"maakunta" "maalk" "puulaji" "dfactor" "hfactor"
"1" 0 1 1 1.06095068156719 1
"2" 0 1 2 0.828300714492798 1
"3" 0 1 3 0.917965099215508 1
"4" 0 1 4 0.644668862223625 1
"5" 0 1 5 0.937895402312279 1
"32" 1 1 1 1.06474377214909 1
"33" 1 1 2 0.907410606741905 1
"34" 1 1 3 1.02758474647999 1
"35" 1 1 4 0.674324408173561 1
"36" 1 1 5 1.03368900716305 1
"63" 2 1 1 1.07025645673275 1
"64" 2 1 2 0.933058485388756 1
"65" 2 1 3 1.0198812186718 1
"66" 2 1 4 0.648645982146263 1
"67" 2 1 5 0.961897075176239 1
"94" 3 1 1 1.08826600015163 1
"95" 3 1 2 0.963450893759727 1
"96" 3 1 3 1.0710559040308 1
"97" 3 1 4 0.631019398570061 1
"98" 3 1 5 1.00712060928345 1
"125" 4 1 1 1.01307697594166 1
"126" 4 1 2 0.931940153241158 1
"127" 4 1 3 0.976731553673744 1
"128" 4 1 4 0.61145193874836 1
"129" 4 1 5 1.05218656361103 1
"156" 5 1 1 1.03906460106373 1
"157" 5 1 2 0.898393914103508 1
"158" 5 1 3 1.02972231805325 1
"159" 5 1 4 0.631372556090355 1
"160" 5 1 5 1.05991803109646 1
"187" 6 1 1 1.05569057166576 1
"188" 6 1 2 0.949344709515572 1
"189" 6 1 3 0.989951118826866 1
"190" 6 1 4 0.625872537493706 1
"191" 6 1 5 1.06043063104153 1
"218" 7 1 1 1.01511172950268 1
"219" 7 1 2 0.897889509797096 1
"220" 7 1 3 1.15216441452503 1
"221" 7 1 4 0.661094412207603 1
"222" 7 1 5 0.951994508504868 1
"249" 8 1 1 1.04667238891125 1
"250" 8 1 2 0.92549167573452 1
"251" 8 1 3 0.943084731698036 1
"252" 8 1 4 0.620869472622871 1
"253" 8 1 5 0.906082913279533 1
"280" 9 1 1 1.06741517782211 1
"281" 9 1 2 0.940588787198067 1
"282" 9 1 3 1.01892568171024 1
"283" 9 1 4 0.706969872117043 1
"284" 9 1 5 0.934763923287392 1
"311" 10 1 1 1.03734873235226 1
"312" 10 1 2 0.930152758955956 1
"313" 10 1 3 0.943955704569817 1
"314" 10 1 4 0.651539787650108 1
"315" 10 1 5 0.99347822368145 1
"342" 11 1 1 1.06597907841206 1
"343" 11 1 2 0.879678800702095 1
"344" 11 1 3 1.02347165346146 1
"345" 11 1 4 0.66563107073307 1
"346" 11 1 5 1.06748707592487 1
"373" 12 1 1 1.03426344692707 1
"374" 12 1 2 0.9051463752985 1
"375" 12 1 3 1.24776877462864 1
"376" 12 1 4 0.715101435780525 1
"377" 12 1 5 1.13217748701572 1
"404" 13 1 1 1.04962654411793 1
"405" 13 1 2 0.96216045320034 1
"406" 13 1 3 1.02863527834415 1
"407" 13 1 4 0.685632154345512 1
"408" 13 1 5 1.09383530914783 1
