"maakunta" "maalk" "puulaji" "dfactor" "hfactor"
"1" 0 1 1 1.07014991343021 1
"2" 0 1 2 0.979945734143257 1
"3" 0 1 3 1.04363553225994 1
"4" 0 1 4 0.923617854714394 1
"5" 0 1 5 1.08151949942112 1
"32" 1 1 1 1.05456627905369 1
"33" 1 1 2 0.967407897114754 1
"34" 1 1 3 1.10791839659214 1
"35" 1 1 4 0.847529545426369 1
"36" 1 1 5 1.04041539132595 1
"63" 2 1 1 1.07966877520084 1
"64" 2 1 2 0.971202850341797 1
"65" 2 1 3 1.07738219201565 1
"66" 2 1 4 0.856880396604538 1
"67" 2 1 5 1.0560504347086 1
"94" 3 1 1 1.07892371714115 1
"95" 3 1 2 1.00179903209209 1
"96" 3 1 3 1.1593572050333 1
"97" 3 1 4 0.853136107325554 1
"98" 3 1 5 1.14310301840305 1
"125" 4 1 1 1.04795128107071 1
"126" 4 1 2 0.993580296635628 1
"127" 4 1 3 1.09753303229809 1
"128" 4 1 4 0.809129253029823 1
"129" 4 1 5 1.05967067182064 1
"156" 5 1 1 1.05369195342064 1
"157" 5 1 2 0.957833155989647 1
"158" 5 1 3 1.06704972684383 1
"159" 5 1 4 0.793471857905388 1
"160" 5 1 5 1.06354497373104 1
"187" 6 1 1 1.05558849871159 1
"188" 6 1 2 0.992213860154152 1
"189" 6 1 3 1.06794826686382 1
"190" 6 1 4 0.814139023423195 1
"191" 6 1 5 1.15009762346745 1
"218" 7 1 1 1.000761911273 1
"219" 7 1 2 0.941825583577156 1
"220" 7 1 3 1.10892795026302 1
"221" 7 1 4 0.775672420859337 1
"222" 7 1 5 1.03124372661114 1
"249" 8 1 1 1.02393917739391 1
"250" 8 1 2 0.950385928153992 1
"251" 8 1 3 1.0483368486166 1
"252" 8 1 4 0.775818452239037 1
"253" 8 1 5 1.03279419243336 1
"280" 9 1 1 1.0595291107893 1
"281" 9 1 2 0.977001637220383 1
"282" 9 1 3 1.04860655963421 1
"283" 9 1 4 0.876201614737511 1
"284" 9 1 5 1.13295309245586 1
"311" 10 1 1 1.01996205747128 1
"312" 10 1 2 0.986154302954674 1
"313" 10 1 3 1.06735445559025 1
"314" 10 1 4 0.860565826296806 1
"315" 10 1 5 1.09513618052006 1
"342" 11 1 1 1.03830240666866 1
"343" 11 1 2 0.975859835743904 1
"344" 11 1 3 1.06582783162594 1
"345" 11 1 4 0.849231258034706 1
"346" 11 1 5 1.03698737919331 1
"373" 12 1 1 1.02621830999851 1
"374" 12 1 2 0.96099965274334 1
"375" 12 1 3 1.19087167084217 1
"376" 12 1 4 0.867035165429115 1
"377" 12 1 5 1.13672308623791 1
"404" 13 1 1 1.03392668068409 1
"405" 13 1 2 0.951233431696892 1
"406" 13 1 3 1.19033522903919 1
"407" 13 1 4 0.825834944844246 1
"408" 13 1 5 1.11538611352444 1
